roi_number,Area,Biovolume,EquivDiameter,MajorAxisLength,MinorAxisLength,winner,id,name,international_id
1464,487,6902.864458,24.90115777,26.08350176,24.09309396,mix,25.0,mix,
1465,514,7286.1387620000005,25.58212513,29.85289565,24.3209335,mix,25.0,mix,
1468,514,5225.253981,25.58212513,39.30039491,18.10963017,mix,25.0,mix,
1469,285,3007.289568,19.049232800000002,19.88211636,18.54671763,mix,25.0,mix,
1470,4030,86569.94531,71.63208335,138.205965,54.80500063,Thalassiosira_dirty,,,
1471,232,1732.588348,17.18695943,22.23253348,14.3239351,mix,25.0,mix,
1472,307,3035.563902,19.77080019,23.00826899,17.189117800000002,mix,25.0,mix,
1473,580,6209.35788,27.17496892,40.24681128,18.96863215,Chaetoceros,3.0,Chaetoceros,148985.0
1474,887,3243.694415,33.60600357,37.56255115,31.789958000000002,Skeletonema,19.0,Skeletonema,149073.0
1475,336,3708.650128,20.68353178,22.80929781,19.50570715,mix,25.0,mix,
1476,8244,184060.8281,102.45285159999999,297.82093189999995,37.45892198,Cerataulina,,,
1477,410,4396.6589189999995,22.84793674,27.98218415,19.03492463,mix,25.0,mix,
1478,1244,23626.34755,39.79836672,52.91497466,32.25727678,Skeletonema,19.0,Skeletonema,149073.0
1479,286,2530.552882,19.08262324,24.24197935,15.93255931,mix,25.0,mix,
1480,469,6081.337979,24.43663943,27.59503546,22.81791184,mix,25.0,mix,
1481,1942,36105.66016,49.72555878,79.74682172,32.25508609,Chaetoceros,3.0,Chaetoceros,148985.0
1482,8262,240837.9688,102.5646387,214.2312318,54.70353156,Corethron,,,
1483,369,2506.447266,21.67545598,32.53317132,24.44365311,detritus,23.0,detritus,
1484,22265,368.49438480000003,168.37065800000002,419.6419995,164.65387619999998,Asterionellopsis,,,
1485,278,2916.968779,18.81384048,20.0337158,18.64599951,mix,25.0,mix,
1486,550,8396.691765000001,26.46283714,27.96627386,25.93594828,mix,25.0,mix,
1487,365,3612.831552,21.55765372,27.38000129,17.83247107,mix,25.0,mix,
1488,307,2719.83384,19.77080019,25.46134312,15.85948948,mix,25.0,mix,
1489,214,1482.046334,16.50676415,21.88600243,12.91998812,mix,25.0,mix,
1490,265,2165.342736,18.36868203,23.76576802,15.32812304,mix,25.0,mix,
1491,672,7354.394043000001,29.25093117,44.07227636,20.91088873,Chaetoceros,3.0,Chaetoceros,148985.0
1494,11409,166498.8594,120.5254743,542.2353617,49.68910004,Chaetoceros,3.0,Chaetoceros,148985.0
1495,545,3945.414795,26.34227689,61.02142746,11.78874125,mix_elongated,,,
1496,381,5192.267258,22.02508267,23.04894069,22.11779589,mix,25.0,mix,
1497,748,7332.258301000001,30.86070608,39.79665458,30.10070394,detritus,23.0,detritus,
1499,442,6163.019388000001,23.72281347,24.39454862,23.44887387,mix,25.0,mix,
1500,443,5420.0327259999995,23.74963407,27.37636325,21.1663362,mix,25.0,mix,
1502,533,5830.751953,26.05065599,33.34953819,21.78463753,mix,25.0,mix,
1504,7479,65417.65625,97.58359778,750.9579054,13.63137298,Rhizosolenia,18.0,Rhizosolenia,149069.0
1505,518,5707.488453,25.68147356,35.97841312,19.20208404,mix,25.0,mix,
1506,41312,1482519.144,229.3470559,953.6978097000001,56.1492502,Rhizosolenia,18.0,Rhizosolenia,149069.0
1508,101123,619.7389526000001,358.82280099999997,976.5194082,249.2534446,Asterionellopsis,,,
1509,622,9273.196115,28.14169499,32.00863311,25.33969079,mix,25.0,mix,
1510,278,1968.7362059999998,18.81384048,23.76710952,17.79697223,mix,25.0,mix,
1511,216,915.7606201,16.58371917,34.24921081,13.68007706,Chaetoceros,3.0,Chaetoceros,148985.0
1514,337,2591.028541,20.71428798,30.9295886,14.37509548,mix,25.0,mix,
1515,323,2810.940027,20.27945692,26.98169274,15.77889815,mix,25.0,mix,
1518,582,3535.862532,27.221782,65.90266607,11.35043893,mix_elongated,,,
1520,451,4614.21421,23.96311822,32.35727554,18.46680903,mix,25.0,mix,
1521,207,1595.929068,16.23454914,20.6213707,14.00175307,mix,25.0,mix,
1522,699,9140.463826000001,29.83277462,42.26263789,22.5252057,mix,25.0,mix,
1523,441,4054.655518,23.69596251,29.77842402,21.68139838,mix,25.0,mix,
1524,2656,16478.04883,58.15259436,377.81401939999995,10.47090025,Pseudonitzschia,,,
1525,4618,35288.03906,76.67998577,528.3259752,19.22595193,Pseudonitzschia,,,
1527,435,5664.291554,23.53421343,28.85368779,21.97649353,detritus,23.0,detritus,
1528,233,1911.65913,17.22396046,20.63150686,14.93138237,mix,25.0,mix,
1529,339,2885.552852,20.77566378,29.00066096,15.36990393,mix,25.0,mix,
1530,500,6462.256088,25.23132522,29.14151544,22.25729885,mix,25.0,mix,
1531,3966,176708.3036,71.06101628,77.02055368,68.58740884,clusterflagellate,,,
1532,668,11634.88839,29.16374489,30.10135883,28.37364625,mix,25.0,mix,
1533,883,14981.469969999998,33.53014342,41.43786632,29.332354300000002,detritus,23.0,detritus,
1534,374,4821.559325,21.82181454,22.42492298,21.64527196,mix,25.0,mix,
1535,10066,198939.7344,113.2096695,399.1947838,51.18670868,Ditylum,,,
1536,497,6866.736143000001,25.15551736,29.53872347,25.16293381,detritus,23.0,detritus,
1537,590,6925.6410049999995,27.40823474,38.53447659,20.22076148,mix,25.0,mix,
1538,587,8633.88201,27.33846398,31.07159906,24.31493336,mix,25.0,mix,
1540,3836,67410.48438,69.88667179,177.2144492,31.34677549,Licmophora,34.0,Licmophora,149342.0
1543,458,4417.864669,24.14836871,36.10467259,16.72347147,Chaetoceros,3.0,Chaetoceros,148985.0
1544,683,12087.27773,29.48936434,30.23444622,29.01720852,mix,25.0,mix,
1548,480,6712.012704000001,24.72154893,26.82238212,23.88759611,mix,25.0,mix,
1549,284,2526.625892,19.01578373,23.62686267,15.57974472,mix,25.0,mix,
1550,420,4342.466445,23.12489154,31.67795571,17.59565505,mix,25.0,mix,
