,name,international_id,resolved_names,taxon_level_fromid,taxon_name_fromid,higher_order_fromid,higher_order_id,data_source,resolved_id_fromgnr,taxon_function,resolved_taxon_level_fromgnr,resolved_higher_order_fromgnr,resolved_higher_order_id,name_match,id_match,higher_match,alt_datasource,alt_resolved_name
107,Stephanopyxis,NA,Stephanopyxis,NA,NA,NA,NA,World Register of Marine Species,149630,worrms,genus,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
108,Strobilidium,NA,Strobilidium,NA,NA,NA,NA,World Register of Marine Species,101185,worrms,species,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
109,Strobilidium_morphotype1,NA,Strobilidium,NA,NA,NA,NA,World Register of Marine Species,101185,worrms,species,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
110,Strombidium_capitatum,NA,Strombidium capitatum,NA,NA,NA,NA,World Register of Marine Species,101282,worrms,species,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
111,Strombidium_conicum,NA,Strombidium conicum,NA,NA,NA,NA,World Register of Marine Species,101289,worrms,species,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
112,Strombidium_inclinatum,NA,Strombidium inclinatum,NA,NA,NA,NA,World Register of Marine Species,428332,worrms,species,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
113,Strombidium_oculatum,NA,Strombidium oculatum,NA,NA,NA,NA,World Register of Marine Species,101320,worrms,species,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
114,Strombidium_morphotype1,NA,Strombidium,NA,NA,NA,NA,World Register of Marine Species,101195,worrms,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
115,Strombidium_morphotype2,NA,Strombidium,NA,NA,NA,NA,World Register of Marine Species,101195,worrms,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
116,Strombidium_wulffi,NA,Strombidium wulffi,NA,NA,NA,NA,World Register of Marine Species,101344,worrms,species,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
117,Syracosphaera_pulchra,NA,Syracosphaera pulchra,NA,NA,NA,NA,World Register of Marine Species,235979,worrms,species,Haptophyta,369190,FALSE,FALSE,FALSE,NCBI,Syracosphaera pulchra
118,Thalassionema,NA,Thalassionema,NA,NA,NA,NA,World Register of Marine Species,149092,worrms,genus,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
119,Thalassiosira,NA,Thalassiosira,NA,NA,NA,NA,World Register of Marine Species,148912,worrms,genus,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
120,Thalassiosira_TAG_external_detritus,NA,Thalassiosira,NA,NA,NA,NA,World Register of Marine Species,148912,worrms,genus,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
121,Tiarina_fusus,NA,Tiarina fusus,NA,NA,NA,NA,World Register of Marine Species,247943,worrms,species,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
122,Tintinnida,NA,Tintinnida,NA,NA,NA,NA,World Register of Marine Species,425497,worrms,order,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
